 Processo ; Contramarca ; Navio ; IMO ; ATD ; ATA ; Bandeira ; Tipo Navio ; Agente Navegacao ; Porto Seguinte ; Porto Procedente ; Motivo Escala ; Local Atribuido ; Morada Agente ; Telefone Agente ; Email Agente ; Indicativo Chamada ; GT ; TAL ; Comprimento ; Calado Maximo ; Porto Registo ; Armador ; Nome Anterior ; Tipo ; TAB ; DWT ; Boca Sinal ; Velocidade Maxima ; Tipo Trafego ; Certificado Verde ; Data Construcao ; Capacidade Teus 
 LIS201302879 ;" """"04012013002875"""" "; ORIANA ;9050137; 2014-01-01 01:36 ; 2013-12-31 08:07 ; Bermudas ; CRUZEIROS ; JAMES RAWES NAVEGACAO LDA ; SOUTHAMPTON ; GIBRALTAR ; 33 - TURISMO ; 245 - TERMINAL DE CRUZEIROS DE LISBOA ; Av. 24 de Julho, 126 1º Esq ;213470231; operations@jamesrawes.pt ; ZCDU9 ;69840;0;260; 8.3 ; BMBDA ; P&O CRUISES ;;361;36829;6260; 32.2 ;24;1; CS ; 1995-01-01 00:00:00.0 ;0
 LIS201302904 ;" """"04012013002901"""" "; MAERSK VOLTA ;9292137; 2014-01-01 14:55 ; 2013-12-30 08:34 ; Singapura ; Porta-contentores ; MAERSK PORTUGAL-AG TRANSP.INT.,LDA ; ALGECIRAS ; LEIXOES ; 14 - CARGA/DESCARGA ; 110 - TERM CONTENT ALCANTARA /  LISCONT ; AV.D.JOAO II Nº 1.16.05. L - 11º ;218980022; pt.manifest@maersk.com ; 9V2317 ;18334;0; 175.54 ;9; SGSIN ; MOLLER AP ;;310;0;23400; 27.4 ;0;1; CS ; 2005-05-05 00:00:00.0 ;0
 LIS201302907 ;" """""""" "; USS SCRANTON ;2224261; 2014-01-01 16:26 ; 2014-01-01 13:34 ; Estados Unidos da America ; Guerra ; JAMES RAWES NAVEGACAO LDA ; NORFOLK, VA ; ROTA ; 35 - VISITA OFICIAL NAVIO DE GUERRA ESTRANGEIRO ; 805 - FUNDEADOR / QUADRO CENTRAL ; Av. 24 de Julho, 126 1º Esq ;213470231; operations@jamesrawes.pt ; SSN756 ;6900;0; 110.3 ;10; USORF ; UNITED STATES NAVY ;;981;0;0;10;30;1;; 1991-09-09 00:00:00.0 ;0
 LIS201302912 ;" """"04012013002909"""" "; INSULAR ;9150420; 2014-01-01 16:33 ; 2013-12-30 05:41 ; Portugal ; Porta-contentores ; VIA OCEANO AGENTES DE NAVEGAÇÃO LDA ; CANIÇAL ; CANIÇAL ; 14 - CARGA/DESCARGA ; 265 - TERM CONTENT STª APOLONIA/SOTAGUS ; LARGO VARADOUROS N.º 4, 3º ; 220126242/3/4 ; lsousa@gruposousa.pt ; CSDD ;5599;0; 119.8 ; 4.8 ; PTM6E ; GS Lines – Transportes Marítimos LDA ;;310;2679;6700;20;0;4; CS ; Thu Jan 01 00:00:00 GMT 1998 ;0
 LIS201302854 ;" """"04012013002851"""" "; COSTA SERENA ;9343132; 2014-01-01 19:53 ; 2014-01-01 07:45 ; Italia ; CRUZEIROS ; OREY COMERCIO NAVEGACAO,SA ; VALENCIA ; CADIZ ; 33 - TURISMO ; 245 - TERMINAL DE CRUZEIROS DE LISBOA ; Rua Castilho , 14 – 4º ;210958272; lisboa@orey-shipping.com ; ICAZ ;114500;0; 290.2 ; 8.3 ; ITGOA ; COSTA CRUISES ;;361;87300;10000; 35.5 ;23;1; ISO ; 2007-01-01 00:00:00.0 ;0
 LIS201302851 ;" """"04012013002848"""" "; AMAZONITH ;9293478; 2014-01-01 22:17 ; 2013-12-31 11:47 ; Chipre ; Tanque Químico ; ATLANTIC LUSOFRETE – AFRETAMENTOS, TRANSPORTES E NAVEGAÇÃO S.A. ; AVEIRO ; VENTSPILS ; 18 - DESCARGA ; 710 - TERM GRANEIS ALKION/BARREIRO ; Rua Castilho , 14 – 4º ;897979899; sines@atlantic-susofretre.pt ; 9HA3293 ;2435;0; 92.8 ; 6.2 ; CYLMS ; AMAZONITH SHIPPING CO LTD ;;102;1210;3700; 14.1 ; 13.8 ;1; CS ; 2004-01-01 00:00:00.0 ;0
 LIS201302921 ;" """"04012013002918"""" "; FURNAS ;9164548; 2014-01-02 08:13 ; 2013-12-31 06:23 ; Portugal ; Porta-contentores ; BENSAUDE-AGENTES DE NAVEGACAO LDA ; SETUBAL ; PONTA DELGADA ; 18 - DESCARGA ; 265 - TERM CONTENT STª APOLONIA/SOTAGUS ; Praça Europa, nº2  Cais do Sodré ;3,51213E+11; pedro.cardoso@bensaude.pt ; CSBK ;4450;0; 100.6 ;7; PTPDL ; MUTUALISTA ACOREANA DE TRANSPORTES MARITIMOS,SA ;;310;2150;5555; 18.8 ;0;4; ISP ; Mon Mar 01 00:00:00 GMT 1999 ;275
 LIS201302849 ;" """"04012013002846"""" "; X-PRESS MONTE BIANCO ;9276341; 2014-01-02 16:06 ; 2013-12-31 11:28 ; Malta ; Porta-contentores ; GARLAND NAVEGACAO,LDA. ; CASABLANCA ; LEIXOES ; 14 - CARGA/DESCARGA ; 110 - TERM CONTENT ALCANTARA /  LISCONT ; Estrada Manuel Correia Lopes nº 682 ; +351 21 444 81 70 ; ops.lis@garland.pt ; 9HA3446 ;6434;0; 133.58 ;7; MTMLA ; NORBULK SHIPPING UK LTD ;;310;0;8496; 19.4 ;0;1; CS ; Wed Jan 01 00:00:00 GMT 2003 ;0
 LIS201302822 ;" """"04012013002819"""" "; GRANDE CONGO ;9437921; 2014-01-02 16:59 ; 2013-12-30 09:30 ; Italia ; Ro-Ro/Contentores ; GRIMALDI PORTUGAL, LDA ; DAKAR ; LEIXOES ; 14 - CARGA/DESCARGA ; 265 - TERM CONTENT STª APOLONIA/SOTAGUS ; Rua D. Luís I – Nº 19, 2º Esq. ;213216300; accounting@grimaldi.pt ; IBPI ;47658;0; 211.3 ; 9.85 ; ITPMO ; Grimaldi Deep Sea SpA ;;338;14297;24400; 32.26 ;0;1; ISO ; 2010-11-01 00:00:00.0 ;0
 LIS201302923 ;" """"04012013002920"""" "; BALMORAL ;8506294; 2014-01-02 17:43 ; 2014-01-02 07:37 ; Bahamas, Ilhas ; CRUZEIROS ; WILHELMSEN SHIPS SERVICE PORTUGAL, S.A. ; SOUTHAMPTON ; FUNCHAL ; 33 - TURISMO ; 245 - TERMINAL DE CRUZEIROS DE LISBOA ; R.FRADESSO DA SILVEIRA, 2 - 2ºA ; 213 210 900 ; wss.lisbon@wilhelmsen.com ; C6II4 ;43537;0; 217.91 ; 7.1 ; BSNAS ; FRED OLSEN ;;361;19985;35260; 28.21 ;23;1; CS ; Fri Jan 01 00:00:00 GMT 1988 ;0
