Processo;Contramarca;Navio;IMO;ATD;ATA;Bandeira;Tipo Navio;Agente Navegacao;Porto Seguinte;Porto Procedente;Motivo Escala;Local Atribuido;Morada Agente;Telefone Agente;Email Agente;Indicativo Chamada;GT;TAL;Comprimento;Calado Maximo;Porto Registo;Armador;Nome Anterior;Tipo;TAB;DWT;Boca Sinal;Velocidade Maxima;Tipo Trafego;Certificado Verde;Data Construcao;Capacidade Teus
LIS201901308;""04012019001311"";SPS GALICIA;2224436;2019-07-01 08:07;2019-06-28 17:55;Espanha;Guerra;GARLAND NAVEGACAO,LDA.;ALICANTE;ALICANTE;37 - VISITA OFICIAL OU ROTINA COM RECIPROCIDADE;245 - TERMINAL DE CRUZEIROS DE LISBOA;Estrada Manuel Correia Lopes nº 682;+351 21 444 81 70;ops.lis@garland.pt;EBAX;4000;0;166.2;7.6;ESVGO;MARINHA REAL ESPANHOLA;;981;0;12000;29;0;1;;Wed Apr 29 00:00:00 GMT 1998;0
LIS201901319;""04012019001322"";FEDERAL SCHELDE;9118147;2019-07-01 14:12;2019-06-25 01:48;Barbados;Graneleiro;WILHELMSEN SHIPS SERVICE PORTUGAL, S.A.;SANTANDER;THREE RIVERS, QU;18 - DESCARGA;495 - TERM GRANEIS SILOPOR/TRAFARIA;R.FRADESSO DA SILVEIRA, 2 - 2ºA;213 210 900;wss.lisbon@wilhelmsen.com;8POF;20837;0;200;10.65;BBBGI;FEDERAL ATLANTIC LTD;;202;11404;34372;23.49;14;1;CA;Wed Jan 01 00:00:00 GMT 1997;0
LIS201901337;""04012019001340"";MARIELYST;9448669;2019-07-01 18:00;2019-07-01 11:25;Portugal;Porta-contentores;BOLUDA LINES PORTUGAL, Sociedade Unipessoal, Lda;SANTA CRUZ DE TENERIFE;LEIXOES;14 - CARGA/DESCARGA;110 - TERM CONTENT ALCANTARA /  LISCONT;Alameda dos Oceanos, 25 escritorio nº 6;927735062;tomas.freire@boluda.com.es;CQAE2;12514;0;157.92;8;PTFNC;ER SCHIFFAHRT GMBH & CIE KG;;310;0;14236;23.5;0;1;CS;Fri Jan 01 00:00:00 GMT 2010;0
LIS201901372;""04012019001375"";MAREMKA;9137301;2019-07-01 19:44;2019-06-30 21:24;Belgica;Carga Geral single deck;NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA;ROTTERDAM;CASABLANCA;13 - CARGA;300 - CAIS DO POÇO DO BISPO / TMPB;Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13;211128595;navex-lisboa@navex.pt;ONIN;1864;0;82.38;3.3;BEANR;BOECKMANS BELGIE NV;;335;938;2499;11.35;12;1;CS;Mon May 01 00:00:00 GMT 1995;0
LIS201901375;""04012019001378"";PASSAT;9326964;2019-07-01 21:06;2019-07-01 06:42;Portugal;Porta-contentores;NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA;LEIXOES;PONTA DELGADA;14 - CARGA/DESCARGA;264 - TERMINAL MULTIPURPOSE DE LISBOA;Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13;211128595;navex-lisboa@navex.pt;V2GJ8;9990;0;134.44;7.4;PTM6E;TRANSINSULAR - TRANSPORTES MARITIMOS INSULARES , S A;;310;0;13963;22.5;0;1;CA;Sat Jan 01 00:00:00 GMT 2005;0
LIS201901299;""04012019001302"";X-PRESS VESUVIO;9328651;2019-07-02 02:13;2019-06-30 13:25;Malta;Porta-contentores;GARLAND NAVEGACAO,LDA.;CASABLANCA;LEIXOES;14 - CARGA/DESCARGA;110 - TERM CONTENT ALCANTARA /  LISCONT;Estrada Manuel Correia Lopes nº 682;+351 21 444 81 70;ops.lis@garland.pt;9HA3961;6454;0;133.6;7;MTMLA;TAGLIN PRIVATE LIMITED;;310;3218;8500;19.4;17.5;1;CA;Sat Jan 01 00:00:00 GMT 2005;0
LIS201901311;""04012019001314"";WITTENBERGEN;9014676;2019-07-02 02:41;2019-06-27 18:18;Antigua e Barbuda;Carga Geral single deck;NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA;FIGUEIRA DA FOZ;BELFAST;18 - DESCARGA;705 - TERM GRANEIS ATLANPORT/BARREIRO;Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13;211128595;navex-lisboa@navex.pt;V2DA;2381;0;88.7;5.6;AGSJO;WESSELS REEDEREI GMBH & CO KG;;335;957;3600;12.8;12;1;CS;Sun Sep 01 00:00:00 GMT 1991;0
LIS201901374;""04012019001377"";MEANDI;9328039;2019-07-02 14:38;2019-07-01 11:50;Portugal;Porta-contentores;MACANDREWS-NAVEGACAO TRANSITOS LDA;LEIXOES;ALGECIRAS;14 - CARGA/DESCARGA;265 - TERM CONTENT STª APOLONIA/SOTAGUS;CAIS OFICINAS-ROCHA CONDE ÓBIDOS;1111111;lisbon@macandrews.com;CQBM;7852;0;140.64;7;PTZFM;Peter Doehle Schiffahrts-KG ;;310;0;9350;21.8;18;1;CS;Mon Nov 27 00:00:00 GMT 2006;803
LIS201900202;""04012019000201"";INDEPENDENCE OF THE SEAS;9349681;2019-07-02 18:05;2019-07-02 06:40;Bahamas, Ilhas;CRUZEIROS;ARENTHERN - AG NAVEG SOC UNIP LDA;CADIZ;VIGO;33 - TURISMO;245 - TERMINAL DE CRUZEIROS DE LISBOA;Edifício Lisboa Oriente, Av. Infante D. Henrique, 333, Edifício 4 Piso 5, Escritório 62;211531178;ssantos@incargo.pt;C6WW4;154407;0;339;9;BSNAS;ROYAL CARIBBEAN INTERNATIONAL;;361;127545;10600;38.6;21.6;1;ISO;Thu May 01 00:00:00 GMT 2008;0
LIS201901316;""04012019001319"";MANATEE;9377690;2019-07-02 18:11;2019-06-30 06:04;Liberia;Porta-contentores;PMAR - Navegação Lda.;LAS PALMAS DE GRAND CANARIA;LEIXOES;14 - CARGA/DESCARGA;265 - TERM CONTENT STª APOLONIA/SOTAGUS;Rua Tomas Ribeiro 412, 1º;291 210 365;lsousa@pmar.pt;D5FH9;17518;0;171.99;7;LRMLW;PROSPEROUS MARITIME HOLDING LTD;;310;8004;21416;27.6;19.7;1;CA;Fri Sep 01 00:00:00 GMT 2006;1577
