 Processo ; Contramarca ; Navio ; IMO ; ATD ; ATA ; Bandeira ; Tipo Navio ; Agente Navegacao ; Porto Seguinte ; Porto Procedente ; Motivo Escala ; Local Atribuido ; Morada Agente ; Telefone Agente ; Email Agente ; Indicativo Chamada ; GT ; TAL ; Comprimento ; Calado Maximo ; Porto Registo ; Armador ; Nome Anterior ; Tipo ; TAB ; DWT ; Boca Sinal ; Velocidade Maxima ; Tipo Trafego ; Certificado Verde ; Data Construcao ; Capacidade Teus 
 LIS201402835 ;" """"04012014002849"""" "; MADEIRO ;9418913; 2015-01-01 11:42 ; 2014-12-30 09:02 ; Malta ; Tanque Químico ; NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA ; SINES ; SINES ; 18 - DESCARGA ; 710 - TERM GRANEIS ALKION/BARREIRO ; Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13 ;211128595; navex-lisboa@navex.pt ; 9HSM9 ;13472;0; 149.95 ; 9.5 ; MTMLA ; MARE MARITIME CO SA ;;102;6361;20000; 23.2 ;15;1; CS ; 2008-01-01 00:00:00.0 ;0
 LIS201402857 ;" """"04012014002871"""" "; AMIRA ;9216248; 2015-01-02 02:01 ; 2015-01-01 18:12 ; Ilhas Marshall ; Graneleiro ; NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA ; ALTO  MAR ; SAN CIPRIAN ; 1 - ABASTECIMENTO DE COMBUSTIVEL ; 805_FUNDEADOURO QUADRO CENTRAL ; Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13 ;211128595; navex-lisboa@navex.pt ; V7XG3 ;39818;0; 224.9 ; 9.1 ; MHMAJ ; PYRAMID NAVIGATION CO ESA ;;202;0;74401; 32.26 ;0;1; CS ; 2001-09-06 00:00:00.0 ;0
 LIS201402811 ;" """"04012014002825"""" "; MSC ADRIATIC ;9214226; 2015-01-02 15:04 ; 2015-01-02 06:30 ; Liberia ; Porta-contentores ; MEDITERRANEAN SHIPPING CO.(PORT) SA ; SINES ; LE HAVRE ; 14 - CARGA/DESCARGA ; 110 - TERM CONTENT ALCANTARA /  LISCONT ; Avª Arqto Fernando Távora, 1190 ;210732776; PT083-OPSLIS@msc.com ; D5ES8 ;66289;0; 277.27 ;11; LRMLW ; ER SCHIFFAHRT GMBH & CIE KG ;;310;0;67500;40;0;1; ISP ; 2000-11-30 00:00:00.0 ;0
 LIS201402831 ;" """"04012014002845"""" "; CONMAR FJORD ;9244192; 2015-01-02 16:04 ; 2014-12-31 16:51 ; Portugal ; Carga Geral single deck ; K LINE (PORTUGAL) AGENTES NAVEGACAOSA ; LEIXOES ; GIJON ; 14 - CARGA/DESCARGA ; 265 - TERM CONTENT STª APOLONIA/SOTAGUS ; Estrada Manuel Correia Lopes, nº 682 Conceição da Abóboda ;; kline.lis@klineportugal.com ; VSZP7 ;6191;0; 132.6 ; 6.2 ; PTM6E ; CONMAR SHIPPING GMBH & CO. ;;335;3075;8081; 19.2 ;18;1; CS ; 2002-10-01 00:00:00.0 ;0
 LIS201402853 ;" """"04012014002867"""" "; NIVARIA ;9297163; 2015-01-02 17:57 ; 2015-01-01 18:34 ; Espanha ; Tanque Químico ; NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA ; SINES ; SINES ; 18 - DESCARGA ; 805_FUNDEADOURO QUADRO CENTRAL ; Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13 ;211128595; navex-lisboa@navex.pt ; ECHI ;2815;0; 96.82 ;6; ESSCT ; DISTRIBUIDORA MARITIMA PETROGAS  , S.L.U. ;;102;1183;4250; 14.2 ;0;1; CA ; undefined ;0
 LIS201402839 ;" """"04012014002853"""" "; MARCO POLO ;6417097; 2015-01-02 18:05 ; 2015-01-02 08:25 ; Bahamas, Ilhas ; CRUZEIROS ; JAMES RAWES NAVEGACAO LDA ; TILBURY ; FUNCHAL ; 33 - TURISMO ; 245 - TERMINAL DE CRUZEIROS DE LISBOA ; Av. 24 de Julho, 126 1º Esq ;213470231; operations@jamesrawes.pt ; C6JZ7 ;22080;0; 176.29 ; 8.3 ; BSNAS ; CRUISE MARITIME VOYAGES ;;361;9081;5180; 23.6 ;21;1; CA ; 1965-03-01 00:00:00.0 ;0
 LIS201402826 ;" """"04012014002840"""" "; COSTA FASCINOSA ;9479864; 2015-01-02 19:07 ; 2015-01-02 07:18 ; Italia ; CRUZEIROS ; OREY COMERCIO NAVEGACAO,SA ; VALENCIA ; CADIZ ; 33 - TURISMO ; 245 - TERMINAL DE CRUZEIROS DE LISBOA ; Rua Castilho , 14 – 4º ;210958272; lisboa@orey-shipping.com ; ICPO ;113216;0; 289.59 ; 8.3 ; ITGOA ; COSTA CROCIERE SPA ;;361;0;10000; 35.5 ;0;1; CS ; undefined ;0
 LIS201402808 ;" """"04012014002822"""" "; KELLY C ;9558024; 2015-01-02 19:30 ; 2014-12-30 11:58 ; Reino Unido ; Carga Geral single deck ; NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA ; ALTO  MAR ; BORDEAUX ; 18 - DESCARGA ; 300 - CAIS DO POÇO DO BISPO / TMPB ; Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13 ;211128595; navex-lisboa@navex.pt ; 2DNZ7 ;4151;0; 106.07 ; 6.9 ; GBCOW ; NOVAMARINE CARRIERS SA ;;335;0;6700; 15.5 ;0;1; CS ; 2010-01-01 00:00:00.0 ;0
 LIS201402833 ;" """"04012014002847"""" "; ARA ATLANTIS ;9354375; 2015-01-02 22:25 ; 2015-01-02 10:53 ; Gibraltar ; Misto - Carga geral / Contentores ; IBERO LINHAS TRANSPORTES LDA ; ROTTERDAM ; SINES ; 14 - CARGA/DESCARGA ; 265 - TERM CONTENT STª APOLONIA/SOTAGUS ; RUA 2 EDIF. VERDE, 2º ESQ ;3,51E+11; paula.alves@lisboa.iberolinhas.pt ; ZDIO6 ;9962;0; 134.44 ; 7.5 ; GIGIB ; ARA ATLANTIS SHIPPING BV ;;339;0;11435; 22.74 ;0;1; CA ; 2007-01-01 00:00:00.0 ;686
 LIS201402815 ;" """"04012014002829"""" "; NINA ;9277278; 2015-01-02 23:28 ; 2014-12-31 18:40 ; Chipre ; Carga Geral single deck ; NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA ; VIANA DO CASTELO ; SKAGEN HAVN ; 18 - DESCARGA ; 705 - TERM GRANEIS ATLANPORT/BARREIRO ; Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13 ;211128595; navex-lisboa@navex.pt ; 5BTL4 ;3289;0; 104.55 ;6; CYLMS ; LOHMANN BEREEDERUNGEN ;;335;1879;5751; 13.6 ;0;1; C69 ; 2003-07-01 00:00:00.0 ;0
