 Processo ; Contramarca ; Navio ; IMO ; ATD ; ATA ; Bandeira ; Tipo Navio ; Agente Navegacao ; Porto Seguinte ; Porto Procedente ; Motivo Escala ; Local Atribuido ; Morada Agente ; Telefone Agente ; Email Agente ; Indicativo Chamada ; GT ; TAL ; Comprimento ; Calado Maximo ; Porto Registo ; Armador ; Nome Anterior ; Tipo ; TAB ; DWT ; Boca Sinal ; Velocidade Maxima ; Tipo Trafego ; Certificado Verde ; Data Construcao ; Capacidade Teus 
 LIS201702641 ;" """"04012017002651"""" "; TRAMMO PARIS ;9792515; 2018-01-01 13:58 ; 2017-12-31 11:43 ; Singapura ; Tanque Gás Liquefeito ; PINTO BASTO IV-SERVICOS MARITIMOS,LDA ; DAKAR ; TEESPORT ; 50 - DESCARGA NAVIO TANQUE IMDG CLASSES 2, 6 OU 8 ; 710 - TERM GRANEIS ALKION/BARREIRO ; AV 24 DE JULHO 1-D ;269862598; agency.sines@pintobasto.com ; 9V5470 ;17242;0;154; 8.65 ; SGSIN ; TRAMMO INTERNATIONAL INC ;;103;0;17667; 25.53 ;0;1; C69 ; undefined ;0
 LIS201702639 ;" """"04012017002649"""" "; AIDABLU ;9398888; 2018-01-01 18:45 ; 2017-12-31 16:29 ; Italia ; CRUZEIROS ; JAMES RAWES NAVEGACAO LDA ; FUNCHAL ; SANTA CRUZ DE TENERIFE ; 33 - TURISMO ; 245 - TERMINAL DE CRUZEIROS DE LISBOA ; Av. 24 de Julho, 126 1º Esq ;213470231; operations@jamesrawes.pt ; IBWX ;71304;0; 253.33 ; 7.2 ; ITGOA ; COSTA CRUISES ;;361;44046;7889; 32.2 ;0;1; ISO ; Mon Feb 01 00:00:00 GMT 2010 ;0
 LIS201702621 ;" """"04012017002631"""" "; COLUMBUS ;8611398; 2018-01-02 15:42 ; 2018-01-02 07:00 ; Bahamas, Ilhas ; CRUZEIROS ; JAMES RAWES NAVEGACAO LDA ; TILBURY ; FUNCHAL ; 33 - TURISMO ; 245 - TERMINAL DE CRUZEIROS DE LISBOA ; Av. 24 de Julho, 126 1º Esq ;213470231; operations@jamesrawes.pt ; C6CP4 ;63786;0; 245.6 ;8; BSNAS ; CRUISE MARITIME VOYAGES ;;361;0;7505; 32.2 ;21;1; CA ; Wed Mar 15 00:00:00 GMT 1989 ;0
 LIS201702577 ;" """"04012017002587"""" "; CALA PEDRA ;9164782; 2018-01-02 19:19 ; 2018-01-02 05:41 ; Italia ; Frigorífico ; OCIDENAVE-NAVEGACAO LDA ; VADO LIGURE ; MOIN ; 14 - CARGA/DESCARGA ; 265 - TERM CONTENT STª APOLONIA/SOTAGUS ; Estrada Manuel Correia Lopes nº 682 ;3,51213E+11; ops.lis@ocidenave.com ; IBMK ;14868;0; 189.73 ; 8.2 ; ITGOA ; SEATRADE GRONNINGEN BV ;;331;6071;16024; 24.02 ; 21.5 ;1; CA ; Sat Jan 01 00:00:00 GMT 2000 ;560
 LIS201702600 ;" """"04012017002610"""" "; ILHA DA MADEIRA ;9341976; 2018-01-02 19:30 ; 2018-01-02 05:22 ; Portugal ; Porta-contentores ; K LINE (PORTUGAL) AGENTES NAVEGACAOSA ; LONDON GATEWAY PORT ; LEIXOES ; 14 - CARGA/DESCARGA ; 265 - TERM CONTENT STª APOLONIA/SOTAGUS ; Estrada Manuel Correia Lopes, nº 682 Conceição da Abóboda ;; kline.lis@klineportugal.com ; CQAX7 ;7545;0; 129.62 ; 7.3 ; PTM6E ; TRANSINSULAR - TRANSPORTES MARITIMOS INSULARES , S A ;;310;3165;8200; 20.6 ;0;1; CS ; Mon Jan 01 00:00:00 GMT 2007 ;698
 LIS201702637 ;" """"04012017002647"""" "; HALIFAX EXPRESS ;9200823; 2018-01-02 22:14 ; 2018-01-02 06:01 ; Hong-Kong ; Porta-contentores ; HAPAG-LLOYD PORTUGAL, LDA ; TANGER MED ; CAUCEDO ; 14 - CARGA/DESCARGA ; 110 - TERM CONTENT ALCANTARA /  LISCONT ; Av. D. João II, Nº 44C, Piso 2, sala 2.4 Edifício Atlantis – Parque das Nações ; 0049403001-0 ; info.de@hlag.com ; VRMW7 ;54437;0; 294.02 ; 10.9 ; HKHKG ; HAPAG-LLOYD ;;310;0;66818; 32.3 ;0;1; CS ; undefined ;0
 LIS201702655 ;" """"04012017002666"""" "; BAHIA TRES ;9428671; 2018-01-02 22:22 ; 2018-01-02 06:57 ; Espanha ; Tanque Petroleiro ; NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA ; SINES ; SINES ; 18 - DESCARGA ; 520 - EST.ASSIST.NAVAL PORTO LISBOA ; Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13 ;211128595; navex-lisboa@navex.pt ; EADC ;4969;0; 99.8 ; 6.8 ; ESSCT ; MURELOIL ;;101;1859;6920;18;0;1; CS ; Mon Apr 30 00:00:00 GMT 2007 ;0
 LIS201702625 ;" """"04012017002635"""" "; ANNA ;9361110; 2018-01-03 00:21 ; 2017-12-30 09:25 ; Holanda ; Carga Geral single deck ; NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA ; PORTO DESCONHECIDO ; SZCZECIN ; 18 - DESCARGA ; 300 - CAIS DO POÇO DO BISPO / TMPB ; Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13 ;211128595; navex-lisboa@navex.pt ; PBMF ;2993;0; 89.99 ; 6.1 ; NLLMR ; VERTOM SHIPMANAGEMENT BV ;;335;1639;4504;14;12;1; CS ; Tue Jan 01 00:00:00 GMT 2008 ;150
 LIS201702635 ;" """"04012017002645"""" "; BALMORAL ;8506294; 2018-01-03 00:34 ; 2018-01-02 07:42 ; Bahamas, Ilhas ; CRUZEIROS ; WILHELMSEN SHIPS SERVICE PORTUGAL, S.A. ; SOUTHAMPTON ; FUNCHAL ; 33 - TURISMO ; 245 - TERMINAL DE CRUZEIROS DE LISBOA ; R.FRADESSO DA SILVEIRA, 2 - 2ºA ; 213 210 900 ; wss.lisbon@wilhelmsen.com ; C6II4 ;43537;0; 217.91 ;7; BSNAS ; FRED OLSEN ;;361;19985;35260; 28.21 ;23;1; CS ; Fri Jan 01 00:00:00 GMT 1988 ;0
 LIS201702579 ;" """"04012017002589"""" "; MANISA KRISTIN  ;9190212; 2018-01-03 10:11 ; 2018-01-01 07:24 ; Holanda ; Graneleiro ; CINTIA NAVE-AFRET. MARITIMOS,LDA ; AVEIRO ; NANTES ; 18 - DESCARGA ; 305 - TERM GRANEIS SILOPOR/BEATO ; R. CARLOS MARDEL, Nº5 - 1º ;218439002; cintia.nave@mail.telepac.pt ; PCIK ;6142;0; 130.6 ; 7.5 ; NLDZL ; LONGSHIP BV ;;202;0;9100; 15.87 ;13;1; CS ; Fri Aug 25 00:00:00 GMT 2000 ;0
