 Processo ; Contramarca ; Navio ; IMO ; ATD ; ATA ; Bandeira ; Tipo Navio ; Agente Navegacao ; Porto Seguinte ; Porto Procedente ; Motivo Escala ; Local Atribuido ; Morada Agente ; Telefone Agente ; Email Agente ; Indicativo Chamada ; GT ; TAL ; Comprimento ; Calado Maximo ; Porto Registo ; Armador ; Nome Anterior ; Tipo ; TAB ; DWT ; Boca Sinal ; Velocidade Maxima ; Tipo Trafego ; Certificado Verde ; Data Construcao ; Capacidade Teus 
 LIS201602421 ;" """"04012016002431"""" "; SOUND OF SEA ;9012082; 2017-01-01 08:50 ; 2016-12-31 00:21 ; Turquia ; Tanque Químico ; OCIDENAVE-NAVEGACAO LDA ; HUELVA ; CARTAGENA ; 18 - DESCARGA ; 540 - TERM GRANEIS SOVENA/PALENÇA ; Estrada Manuel Correia Lopes nº 682 ;3,51213E+11; ops.lis@ocidenave.com ; TCA3046 ;2987;0; 108.7 ; 6.65 ; TRIST ; KALKAN DENIZCILIK PETROL LOJISTIK TURIZM SANAYI  VE TICARET LIMITED SIRKETI ;;102;1264;4621;15;13;1; CA ; 1991-12-04 00:00:00.0 ;0
 LIS201602407 ;" """"04012016002417"""" "; BALTIC MERCHANT ;9314806; 2017-01-01 21:00 ; 2016-12-31 14:48 ; Chipre ; Tanque Químico ; MARMEDSA - AGENCIA MARITIMA, LDA ; FERROL ; TARRAGONA ; 18 - DESCARGA ; 535 - TERM COMB REPSOL/BANATICA ; Av. D. João II - nº. 51 – Piso 2 – Sala C Edificio Art’s – Parque das Nações ;269869190; opsptlis@marmedsa.com ; C4KB2 ;2324;0; 182.55 ;9; CYLMS ; B. MERCHANT SHIPPING COMPANY LIMITED ;;102;0;37304; 27.34 ;0;1; CS ; 2006-01-01 00:00:00.0 ;0
 LIS201602375 ;" """"04012016002385"""" "; HMCS CHARLOTTETOWN ;2161227; 2017-01-02 11:20 ; 2016-12-27 11:05 ; Canada ; Guerra ; JAMES RAWES NAVEGACAO LDA ; PONTA DELGADA ; ROTA ; 35 - VISITA OFICIAL NAVIO DE GUERRA ESTRANGEIRO ; 120 - CAIS DA ROCHA/TERMINAL DE PASSAGEIROS ; Av. 24 de Julho, 126 1º Esq ;213470231; operations@jamesrawes.pt ; FFH339 ;4795;0; 134.2 ; 7.1 ; CAHAL ; MARINHA DE GUERRA DO CANADA ;;981;0;4795; 16.5 ;30;1;; 1995-12-12 00:00:00.0 ;0
 LIS201602432 ;" """"04012016002442"""" "; FULMAR S ;9370082; 2017-01-02 12:56 ; 2017-01-02 02:28 ; Barbados ; Carga Geral multi deck ; NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA ; BILBAO ; DURBAN ; 1 - ABASTECIMENTO DE COMBUSTIVEL ; 805_FUNDEADOURO QUADRO CENTRAL ; Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13 ;211128595; navex-lisboa@navex.pt ; 8PAP6 ;9556;0; 138.09 ; 7.4 ; BBBGI ; FULMAR SHIPPING & TRADING CO. LTD ;;336;0;13450;21;0;1; CS ; undefined ;0
 LIS201602400 ;" """"04012016002410"""" "; VERONICA B ;9348625; 2017-01-02 13:12 ; 2017-01-02 05:48 ; Portugal ; Porta-contentores ; OREY COMERCIO NAVEGACAO,SA ; SANTA CRUZ DE TENERIFE ; VILLAGARCIA DE AROSA ; 14 - CARGA/DESCARGA ; 110 - TERM CONTENT ALCANTARA /  LISCONT ; Rua Castilho , 14 – 4º ;210958272; lisboa@orey-shipping.com ; CQNP ;14016;0; 159.4 ; 8.4 ; PTZFM ; CONFIDENCE TRADE SL ;;310;6524;18091; 24.8 ;18;1; CS ; Fri Feb 17 00:00:00 GMT 2006 ;0
 LIS201602324 ;" """"04012016002334"""" "; LAS PALMAS ;9216834; 2017-01-02 15:22 ; 2017-01-01 08:07 ; Portugal ; Porta-contentores ; OPDR IBERIA - UNIP LDA ; LEIXOES ; TANGER MED ; 14 - CARGA/DESCARGA ; 265 - TERM CONTENT STª APOLONIA/SOTAGUS ; AV D CARLOS I, Nº44 - 3RD FL 1200-649 LISBOA ;;; CQHP ;7360;0; 127.95 ;7; PTZFM ; OLDENBURG-PORTUGIESISCHE ;;310;3085;7900; 20.6 ;17;1; CS ; 2002-06-01 00:00:00.0 ;698
 LIS201602427 ;" """"04012016002437"""" "; PUCCINI ;9156993; 2017-01-02 16:45 ; 2017-01-01 15:04 ; Luxemburgo ; Tanque Químico ; ATLANTIC LUSOFRETE – AFRETAMENTOS, TRANSPORTES E NAVEGAÇÃO S.A. ; ALTO  MAR ; ROTTERDAM ; 48 - DESCARGA NAVIO TANQUE ACRILONITRILO ; 710 - TERM GRANEIS ALKION/BARREIRO ; Rua Castilho , 14 – 4º ;897979899; sines@atlantic-susofretre.pt ; P3SN8 ;2195;0; 94.3 ; 4.7 ; LULUX ; GEFO GESELLSCHAFT FUR OELTRANSPORTE mbH & CA. ;;102;832;3052; 12.5 ;13;1; CS ; 1998-09-01 00:00:00.0 ;0
 LIS201602408 ;" """"04012016002418"""" "; BAHIA TRES ;9428671; 2017-01-02 18:10 ; 2016-12-29 23:20 ; Espanha ; Tanque Petroleiro ; NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA ; SINES ; SINES ; 18 - DESCARGA ; 800_FUNDEADOURO MAR DA PALHA ; Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13 ;211128595; navex-lisboa@navex.pt ; EADC ;4969;0; 99.8 ; 6.5 ; ESSCT ; MURELOIL ;;101;1859;6920;18;0;1; C69 ; Mon Apr 30 00:00:00 GMT 2007 ;0
 LIS201602396 ;" """"04012016002406"""" "; WILSON BLYTH ;9124419; 2017-01-02 18:25 ; 2016-12-28 22:15 ; Malta ; Misto - Carga geral / Contentores ; NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA ; SAN CIPRIAN ; ROTTERDAM ; 18 - DESCARGA ; 705 - TERM GRANEIS ATLANPORT/BARREIRO ; Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13 ;211128595; navex-lisboa@navex.pt ; 9HQP4 ;2446;0; 87.9 ; 5.1 ; MTMLA ; WILSON SHIPOWNING AS ;;339;1369;3713; 12.8 ;0;1; CA ; 1994-11-01 00:00:00.0 ;176
 LIS201602413 ;" """"04012016002423"""" "; MAGELLAN ;8217881; 2017-01-02 19:17 ; 2017-01-02 06:53 ; Bahamas, Ilhas ; CRUZEIROS ; JAMES RAWES NAVEGACAO LDA ; TILBURY ; FUNCHAL ; 33 - TURISMO ; 245 - TERMINAL DE CRUZEIROS DE LISBOA ; Av. 24 de Julho, 126 1º Esq ;213470231; operations@jamesrawes.pt ; C6BR5 ;46052;0; 221.57 ; 7.7 ; BSNAS ; CRUISE MARITIME VOYAGES ;;361;0;7186; 28.01 ;0;1; CS ; Sat Jun 01 00:00:00 GMT 1985 ;0
